Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Crebzf	-0.392879735600075	4.4153140955532	-0.691780391438464	0.491502323186258	0.791073999565931	-6.11310214425453
H2afy	0.143653991641315	6.15108944756191	0.69149062305084	0.491683156044928	0.791169881199086	-6.39812555704858
Cbx8	0.208103400620728	2.5160469955479	0.691471124335665	0.491695325724601	0.791169881199086	-5.95958340633286
Sypl2	-1.02454521434425	0.658634508792954	-0.691418930361853	0.491727902220243	0.791169881199086	-5.61274966327938
Wdr53	0.28825350684937	2.97218864938743	0.691397074999208	0.491741543440554	0.791169881199086	-6.10398954517515
Atxn7l1	-0.194156407749037	4.46054180378896	-0.691303285049501	0.491800085636247	0.791191809001655	-6.21083502758587
Zfp786	-0.374730089883447	-0.512711585535032	-0.691050522638385	0.491957874962355	0.791284134013156	-5.59941134763605
Mst1	-0.467079462074129	-1.88267073916148	-0.691015459840404	0.491979765439896	0.791284134013156	-5.57058029107255
Creb1	-0.195618874665777	5.92110415017611	-0.690995495618667	0.491992229782362	0.791284134013156	-6.36806091932246
Hibadh	-0.129141842501161	5.59981606293355	-0.690814528656774	0.492105221514919	0.791393608015958	-6.33871493107621
Olfr1312	-0.544622109524288	-0.575985697095956	-0.69067044917431	0.492195191708794	0.791466042641909	-5.59004661748997
Ddx17	0.132931527429886	8.2492266095698	0.690428475553279	0.492346312038506	0.791574145521992	-6.43871743591774
Trip10	-0.134184468421708	5.45967047825264	-0.690418789110844	0.492352362063956	0.791574145521992	-6.32716693457938
Lyrm7	0.563973295039391	-1.61346597229327	0.690209805592543	0.492482900370706	0.791574145521992	-5.58838594848567
Zfand4	0.622476120319462	0.607578927410766	0.690187453423546	0.492496863429245	0.791574145521992	-5.72843543868101
Clk1	-0.653513577269441	5.64357984280644	-0.690172612576991	0.492506134399324	0.791574145521992	-6.29121064310081
6820408C15Rik	-0.448578913948486	-1.99101705121236	-0.690131162907247	0.492532028216766	0.791574145521992	-5.56926009467777
Gigyf2	-0.605080124807438	4.95483724261996	-0.690041839428155	0.492587831581896	0.791591611124492	-6.1743447353465
Cabin1	0.171848235374283	5.88580906899622	0.689920184869981	0.492663838829591	0.791628224461622	-6.38290904879995
Rfc5	-0.182841296712557	3.79491047826489	-0.6897915838468	0.492744193075923	0.791628224461622	-6.15573342344918
Sun2	0.163685197482741	6.43566248176057	0.689605229230091	0.492860646459466	0.791628224461622	-6.41006230009857
Pcp4	-0.594638469909049	-1.56135967978846	-0.689583702250305	0.492874099685385	0.791628224461622	-5.57219214441645
Abhd14a	-0.213815038446096	3.46993125578586	-0.689537742231319	0.492902822944561	0.791628224461622	-6.11591645938518
Gstm5	-0.225034815294847	4.60791568739466	-0.689509410442099	0.492920529689497	0.791628224461622	-6.24790976695212
Cep126	0.371202162726667	0.522894778530583	0.689488235525016	0.492933763774462	0.791628224461622	-5.69479866364033
Krt36	-0.588645365919276	-1.60928205345416	-0.689405351001274	0.492985567542361	0.791628224461622	-5.57496088996319
Lce1c	0.510159504104974	-2.23911285797095	0.689300664254902	0.493051002210804	0.791628224461622	-5.57785515833541
Acad12	-0.269547707717235	3.1182175346017	-0.689214666499674	0.493104758847149	0.791628224461622	-5.94585978813262
1810010H24Rik	-0.495597177728635	-0.187409865322929	-0.689157808795081	0.493140301991303	0.791628224461622	-5.610216321751
Epha1	-0.471157251441199	1.13788330689208	-0.689039791195184	0.493214082165173	0.791628224461622	-5.67923081646677
Slc29a3	-0.170908689271731	6.31376686493211	-0.689033112326706	0.493218257723871	0.791628224461622	-6.39748369038194
Pcdh18	0.340373592360284	4.24428620090261	0.688956009372051	0.493266463086822	0.791628224461622	-6.13871464476785
Higd2a	0.212586663328864	5.2982982509367	0.688918637571822	0.49328982915376	0.791628224461622	-6.33753336877987
Dcxr	0.266245172636839	4.50161002405923	0.688854992483342	0.493329623531999	0.791628224461622	-6.28083156319622
Ms4a4a	-0.453910415014747	5.46999729463277	-0.688628155311957	0.493471468797257	0.791721341544104	-6.30085193642307
Apobec2	-1.032757497476	1.72581539754026	-0.688566129204804	0.49351025869952	0.791721341544104	-5.68075108629055
Lrba	-0.287726862483787	4.31925630270769	-0.688546583589495	0.493522482487273	0.791721341544104	-6.12094353685485
